connection_id,packet_size,duration,bytes_sent,bytes_received,connection_type,port_number,flag_count,threat_detected
218,1168,3.89,4242,3878,TCP,25,2,0
219,933,1.48,3651,3842,ICMP,0,1,0
220,1693,1.68,5833,6125,TCP,21,3,0
221,1007,4.52,1219,937,TCP,80,2,0
222,894,1.55,2927,3421,TCP,22,4,0
223,452,4.75,1231,1550,ICMP,0,1,0
224,3408,53.24,8092,3093,ICMP,0,1,1
225,76,1.8,227,223,UDP,110,1,0
226,17103,46.64,65268,38959,UDP,445,11,1
227,1928,4.49,3564,2460,TCP,80,3,0
228,1142,4.79,4102,3448,TCP,25,4,0
229,38056,17.84,278767,141036,TCP,1521,6,1
230,1330,3.8,4171,2989,TCP,25,2,0
231,737,0.59,1857,2506,TCP,993,2,0
232,1514,4.56,1712,2167,ICMP,0,1,0
233,766,4.83,1293,832,ICMP,0,1,0
234,978,0.47,1911,1177,ICMP,0,1,0
235,1268,2.14,3530,3248,TCP,443,2,0
236,1316,3.49,1452,1022,UDP,22,1,0
237,1973,3.04,7687,9941,TCP,25,3,0
238,557,0.18,1041,905,ICMP,0,1,0
239,1651,2.11,4780,5148,UDP,995,1,0
240,1068,0.21,3574,4060,ICMP,0,1,0
241,1377,4.43,4547,4890,TCP,443,3,0
242,423,2.55,1314,1402,ICMP,0,1,0
243,807,1.85,2492,3621,ICMP,0,1,0
244,1731,1.01,5342,3048,UDP,110,4,0
245,1022,1.04,2045,2020,TCP,993,1,0
246,31732,59.11,215418,156501,UDP,5432,5,1
247,939,4.24,1172,1330,TCP,110,3,0
248,1537,3.23,2660,2359,UDP,53,2,0
249,38794,58.89,191962,118489,ICMP,0,1,1
250,2002,3.25,4367,4479,UDP,443,1,0
251,844,4.25,3348,1915,UDP,80,3,0
252,17418,12.21,156158,33400,UDP,5432,6,1
253,166,4.45,349,474,UDP,53,1,0
254,26360,50.38,207922,107715,UDP,515,9,1
255,1821,3.87,3143,4667,ICMP,0,1,0
256,930,3.22,2427,3032,ICMP,0,1,0
257,3770,9.95,16875,7696,ICMP,0,1,1
258,566,2.95,1610,1001,ICMP,0,1,0
259,613,4.5,1347,1553,ICMP,0,1,0
260,747,1.99,1280,1712,UDP,995,3,0
261,45017,47.55,406418,233451,UDP,135,13,1
262,9030,47.85,61807,21361,UDP,5432,9,1
263,41876,26.28,363047,155735,ICMP,0,1,1
264,1608,1.35,5765,5825,TCP,21,3,0
265,121,3.01,455,513,UDP,143,2,0
266,1944,2.71,2448,1787,ICMP,0,1,0
267,52029,48.28,217967,78165,ICMP,0,1,1
268,12557,20.3,65694,44924,ICMP,0,1,1
269,13427,50.9,109673,75493,TCP,5432,6,1
270,885,3.57,2317,3139,ICMP,0,1,0
271,1867,3.09,5884,5112,TCP,995,4,0
272,787,1.69,1383,1077,ICMP,0,1,0
273,19061,46.39,80450,33849,ICMP,0,1,1
274,1885,3.52,4527,3128,TCP,22,1,0
275,708,2.25,2591,3197,UDP,443,1,0
276,23764,46.7,53940,28626,ICMP,0,1,1
277,1672,0.41,6053,6468,UDP,993,3,0
278,30578,56.75,264011,65075,TCP,1433,12,1
279,1412,0.66,3960,3569,UDP,22,2,0
280,168,4.95,235,296,ICMP,0,1,0
281,58594,23.97,432724,157206,UDP,1935,9,1
282,383,2.88,1169,657,UDP,443,3,0
283,331,1.86,430,233,UDP,995,3,0
284,1194,4.61,1360,1146,UDP,25,4,0
285,301,4.43,1046,614,UDP,22,3,0
286,804,1.81,3082,3727,TCP,143,2,0
287,1821,2.92,5680,5209,UDP,25,1,0
288,483,1.86,1628,1037,UDP,143,2,0
289,1300,2.22,3035,4519,UDP,995,4,0
290,1426,3.2,5077,4908,ICMP,0,1,0
291,487,4.24,1377,1528,TCP,995,4,0
292,15907,32.81,72957,23563,TCP,1935,6,1
293,33341,13.1,202399,152434,TCP,5432,6,1
294,1047,4.6,3762,4821,ICMP,0,1,0
295,1679,3.32,3167,3050,TCP,21,1,0
296,615,3.69,688,760,TCP,21,1,0
297,1600,1.08,1850,1736,TCP,80,4,0
298,425,3.98,826,1063,ICMP,0,1,0
299,1652,4.64,5884,7827,UDP,143,1,0
300,597,0.74,1783,1698,UDP,25,4,0
301,1536,0.42,3775,3497,UDP,443,2,0
302,36149,19.0,80701,41381,ICMP,0,1,1
303,415,4.3,616,735,UDP,53,3,0
304,49802,59.77,310097,218319,ICMP,0,1,1
305,317,1.51,438,349,ICMP,0,1,0
306,47124,41.51,120982,48399,UDP,3389,9,1
307,57234,58.06,124826,69151,ICMP,0,1,1
308,56823,54.85,531159,285144,ICMP,0,1,1
309,2001,2.11,6640,6002,UDP,22,1,0
310,822,0.78,934,973,UDP,995,3,0
311,284,3.44,573,494,ICMP,0,1,0
312,5772,5.72,39074,29908,TCP,1723,8,1
313,584,2.35,2301,1471,UDP,53,2,0
314,41823,46.93,136301,89707,TCP,548,5,1
315,1958,1.04,6486,4325,ICMP,0,1,0
316,1656,2.52,6454,9492,TCP,143,1,0
317,1017,3.48,2216,2663,TCP,21,3,0
318,109,4.01,226,325,UDP,53,2,0
319,6664,21.16,65485,30281,TCP,3306,6,1
320,46203,43.15,236343,51393,ICMP,0,1,1
321,1515,4.72,5220,6184,ICMP,0,1,0
322,59320,19.53,262416,139977,UDP,135,8,1
323,990,4.41,1272,1164,TCP,53,2,0
324,45454,23.15,356332,182818,ICMP,0,1,1
325,997,0.2,1512,1877,UDP,993,3,0
326,187,0.7,265,181,ICMP,0,1,0
327,608,2.66,1836,1054,ICMP,0,1,0
328,1535,0.84,3226,2016,UDP,995,1,0
329,51271,27.04,298670,157165,ICMP,0,1,1
330,908,3.2,1359,1107,ICMP,0,1,0
331,1307,3.49,2790,2179,UDP,25,2,0
332,35935,24.28,299622,75151,TCP,1521,11,1
333,22245,54.53,142661,50393,ICMP,0,1,1
334,1511,3.74,2007,1816,TCP,110,4,0
335,1996,1.78,7730,5484,UDP,53,2,0
336,769,2.77,1177,1495,UDP,110,2,0
337,755,3.66,1618,1654,ICMP,0,1,0
338,10404,37.94,84371,65311,UDP,1723,10,1
339,1997,1.01,4413,4284,ICMP,0,1,0
340,20416,14.98,98429,39237,TCP,1433,8,1
341,53879,9.78,310192,202012,TCP,445,6,1
342,1982,4.13,5777,3679,UDP,110,1,0
343,1555,4.92,2406,2473,UDP,110,3,0
344,451,4.48,529,354,TCP,21,1,0
345,22002,32.8,180139,47224,TCP,139,11,1
346,1966,0.96,5975,5916,TCP,53,1,0
347,1946,2.78,4131,2623,UDP,443,2,0
348,63727,31.67,305845,206019,TCP,2049,10,1
349,573,1.93,1074,1468,TCP,22,2,0
350,1311,4.63,1523,2080,TCP,995,4,0
351,660,1.51,2334,1439,UDP,995,3,0
352,1537,1.12,3407,2843,ICMP,0,1,0
353,641,0.29,2328,1855,UDP,25,2,0
354,1630,4.07,2709,2797,UDP,80,4,0
355,595,0.3,2325,3298,ICMP,0,1,0
356,64,4.65,128,161,ICMP,0,1,0
357,227,0.54,827,1155,TCP,25,1,0
358,964,2.86,1165,1277,ICMP,0,1,0
359,419,1.59,1600,1200,ICMP,0,1,0
360,797,0.44,1678,2454,UDP,22,1,0
361,1013,4.18,3054,2064,ICMP,0,1,0
362,1422,4.09,1874,1353,TCP,110,4,0
363,1327,1.54,4468,6190,TCP,143,3,0
364,17362,59.6,137057,28786,ICMP,0,1,1
365,490,4.79,1056,637,TCP,22,3,0
366,1155,2.09,1288,706,ICMP,0,1,0
367,2029,3.21,6395,3319,TCP,80,3,0
368,1503,4.1,4897,6450,ICMP,0,1,0
369,545,4.97,844,603,ICMP,0,1,0
370,1683,3.99,4859,4956,TCP,443,1,0
371,320,0.6,591,348,TCP,22,2,0
372,1477,4.86,5507,5259,ICMP,0,1,0
373,951,4.4,1040,1531,UDP,25,4,0
374,15538,35.97,119472,53852,UDP,1723,11,1
375,444,0.15,885,1086,TCP,443,1,0
376,497,0.27,1634,871,TCP,21,3,0
377,1258,3.0,4490,3930,UDP,995,3,0
378,1546,2.8,5939,3413,UDP,143,1,0
379,1649,2.06,5733,3279,TCP,80,4,0
380,588,3.46,807,1165,UDP,25,4,0
381,1282,4.48,4735,2875,UDP,25,1,0
382,9679,19.71,72089,56888,ICMP,0,1,1
383,1953,2.59,3146,3974,TCP,143,1,0
384,35495,24.75,167420,48056,UDP,5432,11,1
385,725,0.37,2722,1695,ICMP,0,1,0
386,1115,2.91,2567,3785,ICMP,0,1,0
387,172,3.56,178,214,TCP,25,4,0
388,23370,38.64,71580,25183,TCP,5432,9,1
389,17031,10.34,166928,57105,UDP,1521,14,1
390,1847,4.63,3674,2103,TCP,143,1,0
391,238,3.37,717,498,ICMP,0,1,0
392,986,3.8,2774,1968,ICMP,0,1,0
393,1886,4.5,4477,5043,UDP,21,3,0
394,31226,45.53,243972,80056,TCP,1935,9,1
395,21236,14.96,90646,51729,ICMP,0,1,1
396,816,2.62,2768,3688,ICMP,0,1,0
397,794,1.14,2553,3698,TCP,25,3,0
398,1237,3.54,1890,2782,TCP,22,4,0
399,2226,15.19,5150,1519,ICMP,0,1,1
400,1448,3.61,1669,1665,UDP,993,3,0
401,1382,0.27,3153,4135,ICMP,0,1,0
402,247,1.21,560,609,UDP,21,3,0
403,97,2.34,160,219,TCP,443,1,0
404,11169,11.81,37606,29838,TCP,135,6,1
405,1619,0.85,5698,3213,TCP,53,4,0
406,1578,2.59,1633,1308,UDP,143,3,0
407,821,3.07,3091,2047,TCP,993,4,0
408,818,3.35,1409,872,ICMP,0,1,0
409,22504,7.28,119551,78391,TCP,2049,12,1
410,247,3.56,847,941,ICMP,0,1,0
411,771,4.37,1470,1839,ICMP,0,1,0
412,32415,37.69,102245,30627,TCP,1723,13,1
413,146,0.39,482,666,UDP,443,2,0
414,746,1.29,1133,1499,UDP,110,1,0
415,1392,4.64,2763,2002,TCP,80,4,0
416,963,0.13,1330,1380,UDP,995,3,0
417,65,3.78,219,141,TCP,443,1,0
418,1368,3.52,1729,2096,UDP,22,2,0
419,935,3.21,2591,2985,ICMP,0,1,0
420,1785,1.12,2901,2252,TCP,995,1,0
421,1988,3.9,6637,5714,UDP,53,3,0
422,1762,1.62,3506,2418,TCP,53,2,0
423,1047,2.23,2339,2348,UDP,143,1,0
424,17595,11.61,52746,40547,ICMP,0,1,1
425,105,2.49,358,432,UDP,995,4,0
426,59976,32.48,580766,235861,UDP,139,9,1
427,526,2.03,578,699,TCP,110,4,0
428,1317,0.17,3485,2295,UDP,443,2,0
429,903,3.98,1803,1524,ICMP,0,1,0
430,310,0.29,837,1161,UDP,22,4,0
431,704,3.05,1897,1232,UDP,21,1,0
432,49406,58.43,106168,61114,UDP,135,11,1
433,1352,3.38,5401,3611,UDP,995,4,0
434,546,2.14,1959,1535,TCP,53,1,0
435,50958,19.54,165517,119449,UDP,1521,10,1
436,1698,2.8,3676,4943,ICMP,0,1,0
437,1394,3.74,1574,2096,TCP,53,3,0
438,799,3.19,833,1123,TCP,110,2,0
439,1984,4.75,6083,8829,TCP,80,3,0
440,1535,0.73,2966,2204,UDP,80,1,0
441,995,3.66,2115,1353,UDP,993,1,0
442,1270,1.19,2888,1652,TCP,995,2,0
443,142,1.04,509,313,TCP,22,1,0
444,1565,3.02,5874,6376,ICMP,0,1,0
445,1400,2.92,5167,6681,UDP,25,2,0
446,1084,2.59,1841,1646,ICMP,0,1,0
447,46478,42.52,104967,29414,ICMP,0,1,1
448,26624,44.61,193720,127805,TCP,1433,9,1
449,1247,4.26,2044,2547,UDP,22,1,0
450,1535,1.86,3227,4780,TCP,995,2,0
451,41744,15.89,112658,71046,TCP,2049,10,1
452,281,0.36,906,553,TCP,443,2,0
453,75,3.67,127,118,ICMP,0,1,0
454,21994,19.68,78930,55499,UDP,1433,5,1
455,1689,2.39,2411,3134,UDP,25,1,0
456,44930,14.4,223665,125300,ICMP,0,1,1
457,39254,11.78,349520,76522,TCP,1433,10,1
458,1265,2.93,1569,1730,TCP,25,3,0
459,324,4.39,820,812,TCP,143,4,0
460,1441,2.57,3970,5909,TCP,443,3,0
461,60803,49.01,553652,221937,TCP,5432,14,1
462,784,1.92,2739,3479,ICMP,0,1,0
463,1466,3.58,2434,1948,TCP,993,4,0
464,28616,38.41,106079,51412,ICMP,0,1,1
465,26449,7.94,260246,147240,ICMP,0,1,1
466,64413,15.12,418726,117224,TCP,1521,7,1
467,967,1.01,3332,3714,UDP,143,2,0
468,2031,3.32,3758,5155,UDP,143,1,0
469,673,3.55,2076,1780,UDP,21,2,0
470,1185,4.09,2297,2062,UDP,21,3,0
471,56568,21.2,207445,43000,TCP,135,6,1
472,359,0.85,1176,1371,UDP,21,1,0
473,1944,4.35,4996,7057,UDP,995,4,0
474,1252,0.62,2269,1286,ICMP,0,1,0
475,1197,1.28,4681,5136,ICMP,0,1,0
476,84,4.25,91,132,TCP,443,2,0
477,1935,1.17,6338,3721,UDP,143,2,0
478,415,0.61,1349,1159,ICMP,0,1,0
479,60384,54.82,569276,176968,ICMP,0,1,1
480,206,3.38,549,467,ICMP,0,1,0
481,739,2.73,2585,2013,TCP,993,1,0
482,1408,1.25,5474,6304,TCP,993,4,0
483,1331,1.49,2844,1989,TCP,995,1,0
484,1789,4.32,2078,3080,ICMP,0,1,0
485,1247,4.52,2396,2313,TCP,21,3,0
486,781,1.44,1873,2762,UDP,143,3,0
487,1278,4.69,1312,1602,ICMP,0,1,0
488,452,2.58,1326,1869,TCP,993,4,0
489,562,4.95,1359,1997,UDP,22,3,0
490,773,1.23,1016,536,TCP,21,2,0
491,1829,2.1,1951,2217,UDP,443,3,0
492,34495,59.55,228038,93643,ICMP,0,1,1
493,62160,55.87,243269,94017,ICMP,0,1,1
494,1240,0.31,3818,3834,ICMP,0,1,0
495,1726,4.91,5067,4386,TCP,80,3,0
496,1204,0.24,2436,3039,TCP,80,2,0
497,1668,2.17,2811,3382,TCP,22,1,0
498,822,3.56,1855,2169,TCP,22,3,0
499,1842,0.92,1945,2268,UDP,25,4,0
500,1274,1.27,4447,5609,TCP,80,4,0
501,56481,53.89,115586,79532,TCP,1935,8,1
502,1756,3.27,3890,3940,ICMP,0,1,0
503,61885,51.6,512543,197965,UDP,445,11,1
504,9907,18.52,45316,17448,TCP,3389,6,1
505,1062,4.88,3270,2964,ICMP,0,1,0
506,20948,50.56,119823,45217,TCP,5432,9,1
507,16371,41.73,40444,20937,TCP,139,8,1
508,1867,0.78,5925,6011,TCP,21,3,0
509,1980,0.75,7433,6284,UDP,21,4,0
510,914,3.03,2815,2726,TCP,21,3,0
511,340,3.44,1146,1676,TCP,22,1,0
512,1087,2.54,2810,1519,UDP,993,3,0
513,1822,2.62,2007,2039,ICMP,0,1,0
514,393,4.4,1519,761,ICMP,0,1,0
515,798,2.28,2463,2840,TCP,443,4,0
516,2403,48.82,16077,5661,TCP,548,7,1
517,560,2.25,1789,2554,ICMP,0,1,0
518,70,4.05,167,96,TCP,80,1,0
519,513,4.52,1256,981,ICMP,0,1,0
520,174,3.86,284,281,ICMP,0,1,0
521,1892,0.63,6526,8298,TCP,22,1,0
522,1845,4.63,3943,2211,UDP,53,2,0
523,1925,1.47,5899,6670,TCP,143,1,0
524,1873,2.2,3216,3635,TCP,110,1,0
525,1541,3.95,5781,6841,ICMP,0,1,0
526,9618,59.32,68662,50274,ICMP,0,1,1
527,299,4.24,1131,1117,ICMP,0,1,0
528,1248,2.51,2379,2574,TCP,53,3,0
529,382,1.45,659,882,UDP,995,2,0
530,1582,1.94,5211,2639,UDP,21,1,0
531,914,2.32,2285,3339,ICMP,0,1,0
532,1186,2.91,1319,1153,ICMP,0,1,0
533,394,1.43,1274,1171,UDP,995,2,0
534,1474,0.57,3775,3884,ICMP,0,1,0
535,387,3.0,1178,1750,TCP,80,2,0
536,478,4.36,1038,593,UDP,53,3,0
537,52267,12.91,172517,51358,UDP,3389,5,1
538,16195,17.85,93080,69770,TCP,515,10,1
539,233,4.61,532,578,UDP,25,4,0
540,967,3.46,3051,2364,TCP,110,3,0
541,8111,13.87,35943,25743,TCP,3306,6,1
542,156,1.7,350,331,TCP,53,2,0
543,86,3.12,222,183,TCP,993,1,0
544,1964,4.56,4861,4918,ICMP,0,1,0
545,27989,19.81,248997,138964,UDP,1723,7,1
546,1379,0.27,4732,2976,TCP,110,2,0
547,866,2.66,2563,1721,TCP,21,4,0
548,1361,4.5,2657,3886,UDP,25,1,0
549,741,4.78,2471,3133,UDP,993,4,0
550,1923,2.27,3506,2216,TCP,993,2,0
551,1105,1.61,1801,1212,ICMP,0,1,0
552,1948,2.15,2686,2341,ICMP,0,1,0
553,31013,35.6,130533,74451,ICMP,0,1,1
554,768,2.73,1386,1090,TCP,21,3,0
555,322,4.82,925,623,TCP,21,4,0
556,51226,20.36,294322,220072,UDP,139,7,1
557,1712,1.07,4260,5135,UDP,443,2,0
558,1536,0.93,5825,5700,TCP,993,1,0
559,776,1.92,1724,1609,ICMP,0,1,0
560,668,1.01,1130,863,UDP,995,1,0
